Codenationaliteit,ISO,
30,56,
32,208,
35,250,
3,528,
52,642,
58,752,
132,840,
200,840,
38,826,
61,826,
33,276,
159,356,
119,124,
156,196,
34,246,
37,300,
39,348,
40,372,
161,368,
162,364,
42,380,
22,428,
51,620,
5,703,
55,724,
181,764,
185,410,
28,8,
188,36,
31,100,
18,51,
187,356,
8,268,
65,#N/B,
21,191,
12,804,
19,643,
20,705,
10,762,
137,152,
155,156,
138,170,
139,218,
75,818,
23,233,
157,608,
41,352,
160,360,
164,392,
85,120,
86,404,
24,440,
45,442,
64,807,
171,458,
94,504,
128,484,
174,524,
48,578,norway
2,0,unk
49,40,
50,616,
154,144,
143,740,
158,158,
6,203,
183,792,
59,756,
136,76,
96,478,
100,566,
186,704,
87,178,zaire
53,643,
131,780,
177,634,
168,418,
176,568,
103,710,
17,31,
142,604,
16,112,
111,834,
81,288,
73,178,
69,72,
213,688,
129,588,
108,694,
179,702,
101,800,
148,4,
150,64,
15,398,
120,188,
125,332,
170,462,
46,470,
190,554,
145,862,
209,826,
82,324,
56,203,
7,70,
163,376,
196,#N/B,
135,68,
152,96,
178,682,
118,#N/B,
180,760,
182,784,
124,320,
166,400,
130,591,
172,496,
146,308,
11,860,
84,132,
169,422,
110,706,
114,788,
104,716,
77,231,
173,512,
133,32,
214,499,
215,0,
63,826,
36,887,
116,728,
105,646,
80,270,
149,48,
122,214,
83,384,
167,414,
123,222,
117,44,
153,116,
141,600,
67,24,
13,417,
126,340,
127,388,
92,454,
62,232,
